"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 14:16:42 CEST 2022","Mon Aug 08 14:16:42 CEST 2022","132","","Location","","","","cy.url() - get the current URL",""
"passed","Mon Aug 08 14:16:16 CEST 2022","Mon Aug 08 14:16:17 CEST 2022","261","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Mon Aug 08 14:16:11 CEST 2022","Mon Aug 08 14:16:11 CEST 2022","203","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Mon Aug 08 14:17:33 CEST 2022","Mon Aug 08 14:17:33 CEST 2022","162","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Mon Aug 08 14:16:23 CEST 2022","Mon Aug 08 14:16:23 CEST 2022","176","","Cypress.Cookies","","","",".defaults() - set defaults for all cookies",""
"passed","Mon Aug 08 14:17:31 CEST 2022","Mon Aug 08 14:17:31 CEST 2022","275","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Mon Aug 08 14:16:24 CEST 2022","Mon Aug 08 14:16:24 CEST 2022","165","","Cypress.env()","","","","Get environment variables",""
"passed","Mon Aug 08 14:17:33 CEST 2022","Mon Aug 08 14:17:34 CEST 2022","168","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Mon Aug 08 14:16:23 CEST 2022","Mon Aug 08 14:16:23 CEST 2022","211","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Mon Aug 08 14:16:02 CEST 2022","Mon Aug 08 14:16:02 CEST 2022","150","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Mon Aug 08 14:18:18 CEST 2022","Mon Aug 08 14:18:37 CEST 2022","19440","e-shop go to","menu bar","","","","should open category: Women",""
"passed","Mon Aug 08 14:17:21 CEST 2022","Mon Aug 08 14:17:21 CEST 2022","505","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Mon Aug 08 14:15:36 CEST 2022","Mon Aug 08 14:15:37 CEST 2022","516","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Mon Aug 08 14:16:24 CEST 2022","Mon Aug 08 14:16:24 CEST 2022","165","","Cypress.platform","","","","Get underlying OS name",""
"passed","Mon Aug 08 14:17:25 CEST 2022","Mon Aug 08 14:17:25 CEST 2022","29","","Spies, Stubs, and Clock","","","","cy.stub() matches depending on arguments",""
"passed","Mon Aug 08 14:17:15 CEST 2022","Mon Aug 08 14:17:16 CEST 2022","835","","Querying","","","","best practices - selecting elements",""
"passed","Mon Aug 08 14:18:44 CEST 2022","Mon Aug 08 14:19:10 CEST 2022","25539","e-shop go to","sign-in","","","","should sign in to the given account and check user details",""
"passed","Mon Aug 08 14:17:24 CEST 2022","Mon Aug 08 14:17:24 CEST 2022","559","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Mon Aug 08 14:16:41 CEST 2022","Mon Aug 08 14:16:42 CEST 2022","478","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Mon Aug 08 14:16:48 CEST 2022","Mon Aug 08 14:16:49 CEST 2022","902","","Misc","","","","cy.exec() - execute a system command",""
"passed","Mon Aug 08 14:17:14 CEST 2022","Mon Aug 08 14:17:15 CEST 2022","182","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Mon Aug 08 14:17:15 CEST 2022","Mon Aug 08 14:17:15 CEST 2022","152","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Mon Aug 08 14:16:56 CEST 2022","Mon Aug 08 14:16:57 CEST 2022","743","","Navigation","","","","cy.reload() - reload the page",""
"passed","Mon Aug 08 14:16:10 CEST 2022","Mon Aug 08 14:16:10 CEST 2022","217","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Mon Aug 08 14:17:07 CEST 2022","Mon Aug 08 14:17:09 CEST 2022","1806","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Mon Aug 08 14:15:25 CEST 2022","Mon Aug 08 14:15:26 CEST 2022","575","","example to-do app","","","","can add new todo items",""
"passed","Mon Aug 08 14:16:24 CEST 2022","Mon Aug 08 14:16:25 CEST 2022","176","","Cypress.spec","","","","Get current spec information",""
"passed","Mon Aug 08 14:17:33 CEST 2022","Mon Aug 08 14:17:33 CEST 2022","150","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Mon Aug 08 14:17:40 CEST 2022","Mon Aug 08 14:17:40 CEST 2022","414","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Mon Aug 08 14:17:40 CEST 2022","Mon Aug 08 14:17:40 CEST 2022","163","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Mon Aug 08 14:15:26 CEST 2022","Mon Aug 08 14:15:26 CEST 2022","356","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Mon Aug 08 14:17:32 CEST 2022","Mon Aug 08 14:17:32 CEST 2022","160","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Mon Aug 08 14:17:15 CEST 2022","Mon Aug 08 14:17:15 CEST 2022","198","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Mon Aug 08 14:15:45 CEST 2022","Mon Aug 08 14:15:45 CEST 2022","224","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Mon Aug 08 14:17:06 CEST 2022","Mon Aug 08 14:17:07 CEST 2022","796","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Mon Aug 08 14:16:17 CEST 2022","Mon Aug 08 14:16:17 CEST 2022","317","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Mon Aug 08 14:15:36 CEST 2022","Mon Aug 08 14:15:36 CEST 2022","283","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Mon Aug 08 14:16:49 CEST 2022","Mon Aug 08 14:16:50 CEST 2022","1017","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
